time,sip,dip,reqmethod,respcode,host,url,uri,action,bytes_out,bytes_in
2025-09-11 14:10:35+00:00,72.52.57.155,26.151.82.224,CONNECT,200,video.example.tv,https://video.example.tv/api/v1/items,/api/v1/items,allowed,1913,72533
2025-09-11 16:01:35+00:00,87.56.17.222,76.94.149.95,POST,200,search.example.org,https://search.example.org/login,/login,allowed,3359,19124
2025-09-11 15:29:35+00:00,185.150.90.79,121.51.250.81,POST,401,example.com,https://example.com/api/v1/items,/api/v1/items,allowed,29530,90268
2025-09-11 14:35:35+00:00,30.115.49.158,53.55.194.218,CONNECT,404,news.example.net,https://news.example.net/search?q=test,/search?q=test,allowed,1823,99824
2025-09-11 09:07:35+00:00,149.222.166.32,189.5.85.4,POST,301,news.example.net,https://news.example.net/,/,blocked,2394,78989
2025-09-11 19:12:35+00:00,135.201.44.111,17.120.53.68,CONNECT,404,news.example.net,https://news.example.net/search?q=test,/search?q=test,allowed,35824,60066
2025-09-11 19:51:35+00:00,111.205.228.173,213.202.200.193,GET,400,example.com,https://example.com/login,/login,allowed,45648,51061
2025-09-11 22:37:35+00:00,203.51.71.218,183.83.85.213,POST,200,news.example.net,https://news.example.net/,/,allowed,31259,24418
2025-09-11 16:06:35+00:00,115.222.135.250,51.114.179.19,CONNECT,403,search.example.org,https://search.example.org/login,/login,allowed,3547,37431
2025-09-11 20:12:35+00:00,252.55.87.225,209.164.68.212,GET,403,news.example.net,https://news.example.net/login,/login,blocked,8316,69954
2025-09-11 10:29:35+00:00,194.204.163.178,188.5.214.116,POST,403,video.example.tv,https://video.example.tv/api/v1/items,/api/v1/items,blocked,10413,87828
2025-09-11 08:14:35+00:00,240.12.16.215,245.127.76.18,CONNECT,404,news.example.net,https://news.example.net/search?q=test,/search?q=test,blocked,46718,91291
2025-09-11 07:30:35+00:00,33.24.26.35,114.28.180.104,CONNECT,301,search.example.org,https://search.example.org/api/v1/items,/api/v1/items,allowed,37106,69673
2025-09-11 12:40:35+00:00,251.48.88.45,82.118.114.237,POST,502,search.example.org,https://search.example.org/login,/login,blocked,47118,63327
2025-09-11 23:10:35+00:00,59.206.200.130,199.75.24.101,GET,200,video.example.tv,https://video.example.tv/index.html,/index.html,blocked,12236,71867
2025-09-11 13:05:35+00:00,217.248.39.229,132.167.57.68,POST,400,video.example.tv,https://video.example.tv/api/v1/items,/api/v1/items,allowed,28586,10801
2025-09-11 09:18:35+00:00,143.164.170.6,92.117.206.6,GET,500,example.com,https://example.com/,/,blocked,13883,86292
2025-09-11 23:25:35+00:00,210.154.187.4,1.27.87.178,CONNECT,502,video.example.tv,https://video.example.tv/api/v1/items,/api/v1/items,allowed,8469,27764
2025-09-11 15:55:35+00:00,177.125.230.41,215.74.137.123,POST,401,video.example.tv,https://video.example.tv/api/v1/items,/api/v1/items,blocked,25419,31926
2025-09-11 22:08:35+00:00,26.119.66.163,232.245.9.34,CONNECT,301,news.example.net,https://news.example.net/index.html,/index.html,allowed,25025,477
2025-09-11 23:54:35+00:00,63.186.94.102,72.19.182.104,CONNECT,302,search.example.org,https://search.example.org/index.html,/index.html,blocked,2572,22520
2025-09-11 21:09:35+00:00,189.125.205.97,74.15.231.197,CONNECT,500,video.example.tv,https://video.example.tv/api/v1/items,/api/v1/items,blocked,38112,47666
2025-09-11 11:22:35+00:00,15.33.125.243,49.233.32.185,POST,404,news.example.net,https://news.example.net/api/v1/items,/api/v1/items,blocked,47550,21578
2025-09-11 23:21:35+00:00,164.191.69.88,144.124.93.147,POST,200,example.com,https://example.com/search?q=test,/search?q=test,allowed,22733,62621
2025-09-11 07:56:35+00:00,141.64.190.94,245.166.98.223,POST,200,example.com,https://example.com/login,/login,blocked,37545,17975
2025-09-11 23:19:35+00:00,184.151.168.6,7.72.66.150,GET,200,search.example.org,https://search.example.org/login,/login,allowed,28891,22323
2025-09-11 23:59:35+00:00,202.3.56.23,94.187.134.132,POST,502,video.example.tv,https://video.example.tv/login,/login,blocked,2649,50829
2025-09-11 22:57:35+00:00,86.104.6.146,90.31.69.185,GET,500,video.example.tv,https://video.example.tv/,/,blocked,3491,89923
2025-09-11 21:02:35+00:00,88.200.59.139,100.30.27.247,POST,301,news.example.net,https://news.example.net/,/,allowed,5295,93076
2025-09-11 22:52:35+00:00,189.168.157.148,61.201.20.214,CONNECT,301,example.com,https://example.com/search?q=test,/search?q=test,blocked,3961,3473
2025-09-11 18:12:35+00:00,56.12.107.161,160.48.93.13,CONNECT,502,example.com,https://example.com/search?q=test,/search?q=test,allowed,23134,48697
2025-09-11 09:53:35+00:00,201.164.78.78,66.58.188.184,GET,500,search.example.org,https://search.example.org/,/,allowed,24855,84524
2025-09-11 09:29:35+00:00,122.123.123.98,85.67.1.35,GET,401,news.example.net,https://news.example.net/search?q=test,/search?q=test,blocked,8056,37209
2025-09-11 21:13:35+00:00,86.22.114.24,201.155.248.1,POST,200,example.com,https://example.com/search?q=test,/search?q=test,blocked,29998,61986
